QTY,REF,Description,Manufacturer,Manufacturer PN,Digi-Key PN,Unit Price,Total
1,-,Perfect Purple PCB from design files,OSH Park,-,-, $10.000 ,$10.00 
1,U1,IC MCU 8BIT 8KB FLASH 14SOIC,Microchip,ATTINY84A-SSUR,ATTINY84A-SSURCT-ND, $0.700 ,$0.70 
1,C1,CAP CER 0.1UF 250V X7R 1206,Samsung,CL31B104KEHSNNE,1276-3084-1-ND, $0.130 ,$0.13 
1,BT1,HOLDER BATTERY 20MM COIN,Linx,BAT-HLD-001,BAT-HLD-001-ND, $0.270 ,$0.27 
2,D1-D2,LED RED CLEAR 1206 SMD,Lite-On Inc.,LTST-C150KRKT,160-1405-1-ND, $0.150 ,$0.30 
2,D2-D4,LED ORANGE CLEAR 0805 SMD,Dialight,5988130107F,350-2040-1-ND, $0.200 ,$0.40 
2,D5-D6,LED AMBER DIFFUSED SMD 0603,Broadcom,ASMT-RA45-AP932,516-3217-1-ND, $0.222 ,$0.44 
1,D7,LED YELLOW CLEAR CHIP SMD 0402,Kingbright,APHHS1005SYCK,754-1105-1-ND, $0.220 ,$0.22 
2,D8,LED GREEN CLEAR 2SMD 0201,Kingbright,APG0603CGC-TT,754-2021-1-ND, $0.270 ,$0.54 
2,R1-R2,RES SMD 100 OHM 5% 1/4W 1206,Panasonic ,ERJ-8GEYJ101V,P100ECT-ND, $0.030 ,$0.06 
2,R3-R4,RES SMD 100 OHM 5% 1/8W 0805,Vishay Dale,CRCW0805100RJNEAC,541-4166-1-ND, $0.016 ,$0.03 
2,R5-R6,RES SMD 100 OHM 5% 1/10W 0603,Bourns Inc.,CR0603-JW-101ELF,CR0603-JW-101ELFCT-ND, $0.007 ,$0.01 
2,R7,RES 100 OHM 5% 1/16W 0402,Stackpole ,RMCF0402JT100R,RMCF0402JT100RCT-ND, $0.005 ,$0.01 
4,R8,RES SMD 100 OHM 5% 1/20W 0201,Yageo,RC0201JR-07100RL,311-100NCT-ND, $0.014 ,$0.06 
1,-,"BAG 4X6"" ZIP STATIC SHIELD 1=1EA",SCS,30046,SCP314-ND, $0.120 ,$0.12 
1,SW1,SWITCH SLIDE SPDT 300MA 6V,C&K,JS102011SAQN,401-1999-1-ND, $0.448 ,$0.45 
1,-,CR2032 Battery,Amazon or local,-,-,-,-
,,,,,,,$3.04 
