LiPo 7.75V, MOSFET, Stock motors

shot, seconds, fps
1, 3.2, 132.7
2, 3.4, 138.3
3, 3.6, 138.3
4, 3.7, 142.3
5, 3.9, 148.8
6, 4.1, 138.0
7, 4.2, 143.3
8, 4.4, 137.0
9, 4.6, 133.9
10, 4.7, 134.5


shot, seconds, fps
1, 5.7, 123.0
2, 5.8, 131.8
3, 6.0, 137.7
4, 6.2, 135.1
5, 6.4, 136.4
6, 6.5, 130.9
7, 6.7, 130.1
8, 6.9, 139.6
9, 7.0, 134.2
10, 7.2, 124.3


shot, seconds, fps
1, 5.8, 138.0
2, 6.0, 137.7
3, 6.2, 142.6
4, 6.4, 132.7
5, 6.5, 109.0
6, 6.7, 118.1
7, 6.9, 133.3
8, 7.0, 136.1
9, 7.2, 113.1
10, 7.4, 132.7

