time (ms),time(s), rpm, mA, mA max,,,,,,
9365,0,0,31847.5,31847.5,,,,,,
9367,0.002,0,33473.75,33473.75,,,,,,
9387,0.022,0,29167.5,33473.75,,,,,,
9390,0.025,6,27670,33473.75,,,,,,
9491,0.126,19264,12858.75,33473.75,,,,,,
9594,0.229,26178,6483.75,33473.75,,,,,,
9699,0.334,27777,3692.5,33473.75,,,,,,
9800,0.435,28790,2882.5,33473.75,,,,,,
10006,0.641,30364,2098.75,33473.75,,,,,,
10107,0.742,30549,1923.75,33473.75,,,,,,
10210,0.845,30800,1735,33473.75,,,,,,
10311,0.946,30927,1813.75,33473.75,,,,,,
10412,1.047,30864,1718.75,33473.75,,,,,,
10513,1.148,30800,1881.25,33473.75,,,,,,
10816,1.451,31120,1730,33473.75,,,,,,
11119,1.754,30617,1821.25,33473.75,,,,,,
11220,1.855,30800,1871.25,33473.75,,,,,,
11321,1.956,31055,1711.25,33473.75,,,,,,
11423,2.058,30927,1860,33473.75,,,,,,
11524,2.159,31120,1687.5,33473.75,,,,,,
11627,2.262,30927,1837.5,33473.75,,,,,,
11728,2.363,30674,1783.75,33473.75,,,,,,
11829,2.464,30864,1860,33473.75,,,,,,
11930,2.565,30612,1793.75,33473.75,,,,,,
12032,2.667,29354,0,33473.75,,,,,,
12135,2.77,27777,0,33473.75,,,,30865,,27778.5
12236,2.871,25906,0,33473.75,,,,1820.46875,,
12337,2.972,24390,0,33473.75,,,,,,
12438,3.073,22831,0,33473.75,,,,,,
12539,3.174,21645,0,33473.75,,,,,,
12640,3.275,20689,0,33473.75,,,,,,
12741,3.376,19505,0,33473.75,,,,,,
12843,3.478,18541,0,33473.75,,,,,,
12944,3.579,17605,0,33473.75,,,,,,
13045,3.68,16666,0,33473.75,,,,,,
13146,3.781,15806,0,33473.75,,,,,,
13247,3.882,14970,0,33473.75,,,,,,
13348,3.983,14150,0,33473.75,,,,,,
13449,4.084,13380,0,33473.75,,,,,,
13550,4.185,12583,0,33473.75,,,,,,
13651,4.286,11904,0,33473.75,,,,,,
13752,4.387,11160,0,33473.75,,,,,,
13853,4.488,10460,0,33473.75,,,,,,
13954,4.589,9778,0,33473.75,,,,,,
14055,4.69,9107,0,33473.75,,,,,,
14156,4.791,8488,0,33473.75,,,,,,
14257,4.892,7845,1.25,33473.75,,,,,,
14358,4.993,7197,0,33473.75,,,,,,
14459,5.094,6616,1.25,33473.75,,,,,,
14560,5.195,5976,0,33473.75,,,,,,
14661,5.296,5432,0,33473.75,,,,,,
14763,5.398,4816,0,33473.75,,,,,,
14867,5.502,4217,0,33473.75,,,,,,
14968,5.603,3716,0,33473.75,,,,,,
15069,5.704,3132,0,33473.75,,,,,,
15172,5.807,2573,0,33473.75,,,,,,
15281,5.916,2018,0,33473.75,,,,,,
15388,6.023,1479,0,33473.75,,,,,,
15500,6.135,957,0,33473.75,,,,,,
15638,6.273,431,0,33473.75,,,,,,
