time (ms), rpm, mA, mA max
5039, 0, 543.75, 3715.00,
5043, 0, 502.50, 3715.00,
5048, 0, 557.50, 3715.00,
5052, 0, 515.00, 3715.00,
5057, 0, 567.50, 3715.00,
5061, 0, 605.00, 3715.00,
5066, 0, 631.25, 3715.00,
5070, 0, 551.25, 3715.00,
5075, 0, 481.25, 3715.00,
5080, 0, 566.25, 3715.00,
5085, 0, 581.25, 3715.00,
5089, 0, 501.25, 3715.00,
5094, 0, 503.75, 3715.00,
5098, 0, 471.25, 3715.00,
5103, 0, 408.75, 3715.00,
5107, 0, 480.00, 3715.00,
5112, 0, 511.25, 3715.00,
5116, 0, 458.75, 3715.00,
5122, 0, 317.50, 3715.00,
5126, 0, 441.25, 3715.00,
5131, 0, 472.50, 3715.00,
5135, 0, 475.00, 3715.00,
5140, 0, 527.50, 3715.00,
5144, 0, 502.50, 3715.00,
5148, 0, 572.50, 3715.00,
5153, 0, 533.75, 3715.00,
5157, 0, 527.50, 3715.00,
5163, 0, 497.50, 3715.00,
5167, 0, 485.00, 3715.00,
5172, 0, 432.50, 3715.00,
5176, 0, 422.50, 3715.00,
5181, 0, 507.50, 3715.00,
5185, 0, 570.00, 3715.00,
5190, 0, 593.75, 3715.00,
5194, 0, 503.75, 3715.00,
5199, 0, 510.00, 3715.00,
5203, 0, 438.75, 3715.00,
5209, 0, 457.50, 3715.00,
5213, 0, 456.25, 3715.00,
5218, 0, 451.25, 3715.00,
5222, 0, 396.25, 3715.00,
5227, 0, 358.75, 3715.00,
5231, 0, 500.00, 3715.00,
5236, 0, 465.00, 3715.00,
5240, 0, 378.75, 3715.00,
5245, 0, 377.50, 3715.00,
5250, 0, 360.00, 3715.00,
5255, 0, 526.25, 3715.00,
5259, 0, 467.50, 3715.00,
5264, 0, 496.25, 3715.00,
5268, 0, 496.25, 3715.00,
5273, 0, 461.25, 3715.00,
5277, 0, 496.25, 3715.00,
5281, 0, 456.25, 3715.00,
5286, 0, 481.25, 3715.00,
5291, 0, 480.00, 3715.00,
5296, 0, 482.50, 3715.00,
5300, 0, 448.75, 3715.00,
5305, 0, 438.75, 3715.00,
5309, 0, 498.75, 3715.00,
5314, 0, 535.00, 3715.00,
5318, 0, 573.75, 3715.00,
5323, 0, 437.50, 3715.00,
5327, 0, 512.50, 3715.00,
5332, 0, 465.00, 3715.00,
5337, 0, 408.75, 3715.00,
5342, 0, 395.00, 3715.00,
5346, 0, 455.00, 3715.00,
5351, 0, 473.75, 3715.00,
5355, 0, 480.00, 3715.00,
5360, 0, 492.50, 3715.00,
5364, 0, 511.25, 3715.00,
5369, 0, 491.25, 3715.00,
5373, 0, 445.00, 3715.00,
5379, 0, 387.50, 3715.00,
5383, 0, 433.75, 3715.00,
5388, 0, 516.25, 3715.00,
5392, 0, 401.25, 3715.00,
5397, 0, 396.25, 3715.00,
5401, 0, 402.50, 3715.00,
5405, 0, 517.50, 3715.00,
5410, 0, 520.00, 3715.00,
5414, 0, 543.75, 3715.00,
5420, 0, 371.25, 3715.00,
5424, 0, 433.75, 3715.00,
5429, 0, 558.75, 3715.00,
5433, 0, 973.75, 3715.00, 
5440, 0, 1038.75, 3715.00, 83.29
5447, 0, 1016.25, 3715.00,
5451, 0, 1062.50, 3715.00,
5456, 0, 1020.00, 3715.00,
5460, 0, 1031.25, 3715.00,
5466, 0, 1017.50, 3715.00,
5471, 0, 993.75, 3715.00,
5475, 0, 995.00, 3715.00,
5480, 0, 972.50, 3715.00,
5484, 0, 986.25, 3715.00,
5489, 0, 988.75, 3715.00,
5493, 0, 960.00, 3715.00,
5498, 0, 976.25, 3715.00,
5502, 0, 945.00, 3715.00,
5508, 0, 952.50, 3715.00,
5512, 0, 940.00, 3715.00,
5517, 0, 973.75, 3715.00,
5521, 0, 923.75, 3715.00,
5526, 0, 903.75, 3715.00,
5530, 0, 921.25, 3715.00,
5534, 0, 910.00, 3715.00,
5539, 0, 888.75, 3715.00,
5543, 0, 911.25, 3715.00,
5549, 0, 900.00, 3715.00,
5553, 0, 905.00, 3715.00,
5558, 0, 883.75, 3715.00,
5562, 0, 878.75, 3715.00,
5567, 0, 878.75, 3715.00,
5571, 0, 865.00, 3715.00,
5576, 0, 821.25, 3715.00,
5580, 0, 873.75, 3715.00,
5585, 0, 888.75, 3715.00,
5590, 0, 877.50, 3715.00,
5595, 0, 870.00, 3715.00,
5599, 0, 847.50, 3715.00,
5604, 0, 857.50, 3715.00,
5608, 0, 858.75, 3715.00,
5613, 0, 851.25, 3715.00,
5617, 0, 705.00, 3715.00,
5622, 0, 695.00, 3715.00,
5626, 0, 682.50, 3715.00,
5632, 0, 606.25, 3715.00,
5636, 0, 580.00, 3715.00,
5641, 0, 586.25, 3715.00,
5645, 0, 623.75, 3715.00,
5650, 0, 650.00, 3715.00,
5654, 0, 611.25, 3715.00,
5659, 0, 766.25, 3715.00,
5663, 0, 606.25, 3715.00,
5667, 0, 603.75, 3715.00,
5672, 0, 612.50, 3715.00,
5677, 0, 647.50, 3715.00,
5682, 0, 176.25, 3715.00,
